task,c5-interleaved-1,c5-interleaved-2,c5-interleaved-3,c5-interleaved-4,c5-interleaved-5,c5-interleaved-6,c5-interleaved2-1,c5-interleaved2-2,c5-interleaved2-3,c5-interleaved2-4,c5-interleaved2-5,c5-interleaved2-6,c5-sequential-1,c5-sequential-2,c5-sequential-3,c5-sequential-4,c5-sequential-5,c5-sequential-6,c5-sequential-ewc-1,c5-sequential-ewc-2,c5-sequential-ewc-3,c5-sequential-ewc-4,c5-sequential-ewc-5,c5-sequential-ewc-6
anaphor_agreement,85.48,91.26,84.61,87.32,84.92,87.12,85.12,93.87,88.7,91.41,91.46,92.43,89.47,93.81,94.99,92.89,94.89,93.0,83.18,85.74,93.4,88.04,93.92,92.64
argument_structure,72.6,74.41,74.35,75.38,75.79,75.21,72.67,74.48,74.85,74.98,76.03,75.98,73.04,75.04,75.87,75.79,76.71,76.55,67.97,70.13,69.64,72.34,71.36,71.96
binding,69.34,70.72,72.81,73.32,72.44,72.99,72.16,70.02,72.99,72.53,72.6,72.96,71.13,71.0,69.71,71.48,71.68,71.56,67.48,68.43,68.88,71.15,69.22,70.82
control_raising,62.99,67.68,68.71,68.16,68.87,69.11,65.33,67.74,67.83,67.34,66.92,67.28,68.16,67.81,66.86,66.9,67.74,67.98,64.58,64.23,64.16,64.18,65.29,65.22
determiner_noun_agreement,85.79,90.35,89.79,90.25,90.76,90.9,86.56,88.9,89.11,91.73,89.79,89.54,84.87,90.0,91.26,91.08,90.76,91.14,78.75,83.28,81.46,84.22,84.47,83.98
ellipsis,68.59,75.35,73.21,74.36,75.58,75.64,70.27,72.81,68.19,72.98,71.71,71.48,69.63,76.04,69.28,70.96,71.77,72.81,63.45,65.3,59.99,63.45,62.64,62.99
filler_gap,65.36,68.77,68.27,69.98,69.09,69.61,65.5,67.99,65.78,68.07,67.49,67.43,67.32,69.56,68.74,70.06,70.21,70.31,64.32,64.16,64.44,65.41,64.92,64.15
irregular_forms,75.47,88.14,85.45,89.36,86.62,86.67,84.02,81.42,85.5,83.1,86.41,84.33,87.28,90.03,83.36,80.71,84.07,84.48,85.29,77.51,81.17,79.29,85.14,86.92
island_effects,45.93,48.39,48.09,51.38,50.71,52.06,43.16,48.58,44.47,49.44,48.62,47.98,51.01,49.1,53.29,49.18,53.7,53.51,48.47,43.8,46.56,44.81,44.62,46.3
npi_licensing,49.21,41.56,47.51,50.43,48.95,49.29,46.9,44.72,47.98,44.61,48.66,45.48,44.97,39.83,45.6,54.37,48.91,45.9,45.87,48.22,46.67,47.42,53.04,49.88
quantifiers,63.83,59.71,53.63,54.12,61.51,59.27,66.67,63.09,62.73,65.82,64.73,65.87,73.18,75.09,74.68,70.58,77.36,71.69,59.51,69.11,64.94,65.77,64.19,61.41
subject_verb_agreement,60.33,64.5,64.48,69.9,66.21,65.96,62.11,64.48,64.41,65.73,68.73,65.91,67.68,75.48,71.94,70.53,75.1,74.81,59.66,60.0,59.75,59.82,63.65,62.96
hypernym,48.49,50.0,49.77,49.07,48.84,49.42,52.56,50.58,51.86,51.28,48.95,49.42,49.42,48.84,49.19,49.07,49.53,49.65,50.23,52.09,50.7,48.49,49.53,49.3
qa_congruence_easy,57.81,53.12,62.5,62.5,65.62,65.62,53.12,54.69,59.38,62.5,62.5,62.5,57.81,62.5,64.06,64.06,65.62,64.06,45.31,54.69,50.0,54.69,53.12,51.56
qa_congruence_tricky,32.12,43.64,40.0,38.79,38.79,40.61,31.52,39.39,42.42,35.76,36.97,36.36,37.58,32.12,42.42,35.15,36.36,36.36,33.33,30.3,36.36,37.58,33.94,32.73
subject_aux_inversion,64.16,66.58,66.48,68.85,65.06,65.21,74.43,76.77,81.7,81.02,79.6,78.82,78.97,76.29,77.53,78.63,77.82,75.7,77.8,74.77,77.92,76.41,77.21,77.75
turn_taking,52.5,64.64,61.07,58.57,60.36,61.07,59.29,65.36,62.86,61.79,66.07,63.57,57.14,61.79,60.36,56.43,54.64,54.64,53.21,58.21,55.0,53.21,53.21,55.0
